counrty,timeid,cases
India,1,0.0
India,2,0.0
India,3,0.0
India,4,0.0
India,5,0.0
India,6,0.0
India,7,0.0
India,8,0.0
India,9,0.0
India,10,0.0
India,11,0.0
India,12,31507.0
India,13,38024.0
India,14,20150.0
India,15,23414.0
India,16,24706.0
India,17,27313.0
India,18,32330.0
India,19,38058.0
India,20,41770.0
India,21,45300.0
India,22,53078.0
India,23,58639.0
India,24,64623.0
India,25,71311.0
India,26,76965.0
India,27,83837.0
India,28,98349.0
India,29,109937.0
India,30,122516.0
India,31,133245.0
India,32,147167.0
India,33,160227.0
India,34,187204.0
India,35,211687.0
India,36,251169.0
India,37,288962.0
India,38,324480.0
India,39,340957.0
India,40,348881.0
India,41,367138.0
India,42,395502.0
India,43,402158.0
India,44,409975.0
India,45,424775.0
India,46,439797.0
India,47,459478.0
India,48,498689.0
India,49,527240.0
India,50,573519.0
India,51,601805.0
India,52,614968.0
India,53,609979.0
India,54,578500.0
India,55,556879.0
India,56,541148.0
India,57,520321.0
India,58,493669.0
India,59,477399.0
India,60,447286.0
India,61,418440.0
India,62,380901.0
India,63,353833.0
India,64,319757.0
India,65,305240.0
India,66,308211.0
India,67,307906.0
India,68,306035.0
India,69,295800.0
India,70,264404.0
India,71,270923.0
India,72,297925.0
India,73,287129.0
India,74,261193.0
India,75,245032.0
India,76,225159.0
India,77,205681.0
India,78,187735.0
India,79,179033.0
India,80,167098.0
India,81,151463.0
India,82,138644.0
India,83,132091.0
India,84,126382.0
India,85,124768.0
India,86,113686.0
India,87,104370.0
India,88,96175.0
India,89,94360.0
India,90,88539.0
India,91,93158.0
India,92,90569.0
India,93,78484.0
India,94,78354.0
India,95,76977.0
India,96,78517.0
India,97,85226.0
India,98,95258.0
India,99,103581.0
India,100,108466.0
India,101,112460.0
India,102,126887.0
India,103,146192.0
India,104,186774.0
India,105,237382.0
India,106,309062.0
India,107,367903.0
India,108,428648.0
India,109,506325.0
India,110,693555.0
India,111,853305.0
India,112,1119830.0
India,113,1395667.0
India,114,1804547.0
India,115,2104772.0
India,116,2355618.0
India,117,2497589.0
India,118,2602026.0
India,119,2635700.0
India,120,2522038.0
India,121,2292351.0
India,122,1982664.0
India,123,1761083.0
India,124,1513830.0
India,125,1285126.0
India,126,1004926.0
India,127,856906.0
India,128,689860.0
India,129,583357.0
India,130,477118.0
India,131,404407.0
India,132,346522.0
India,133,322523.0
India,134,321004.0
India,135,302076.0
India,136,268804.0
India,137,262348.0
India,138,247219.0
India,139,239190.0
India,140,243080.0
India,141,239621.0
India,142,244219.0
India,143,265960.0
India,144,269739.0
India,145,260493.0
India,146,249918.0
India,147,243253.0
India,148,108723.0
